aqs_id,date_local,latitude_x,longitude_x,elevation,dominant_source,measurement_scale,monitoring_objective,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,arithmetic_mean_a,arithmetic_mean_b,poc_a,poc_b,meth_type_a,meth_type_b,method_code_a,method_code_b,monitor_type_a,monitor_type_b
23-003-0014,3/19/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,-12.1,-18.3,-5.9,0,550,310.6,11.5,140.4,1013.3,,2.4,7.083333,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,3/31/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,4.1,1,7.1,9.2,640,143.4,5.3,0,1007.6,,6.1,7.958333,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,4/12/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,3.3,-1.6,8.1,12.4,380,128.2,4.3,115.2,1013.2,,4.1,7.666667,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,4/18/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,3.3,-4.2,10.8,0.2,140,318.9,9.8,0,1024.9,,5.1,8.916667,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,4/24/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,1.6,-3.4,6.6,0.2,,320.4,15.2,180,1014.7,,1.3,6.041667,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,4/30/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,2.5,-8.4,13.3,0,,319.3,6.1,0,1023.5,,8.5,8.295833,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,5/6/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,9.4,-1.1,19.8,0,,338.7,6.6,0,1011.6,,4.6,6.166667,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,5/12/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,10.2,-3.1,23.4,0.4,,325.8,7.4,147.6,1017.3,,4.2,12.5,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,5/18/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,11.7,-1.7,18.6,0,,311.1,12.7,,1017.7,,5.5,6.875,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,5/24/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,16.5,4.7,28.2,0,,100.4,5.4,0,1013.6,,6.7,6.916667,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,6/5/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,13.4,4.9,21.8,6.7,,122.7,6.1,133.2,1013.6,,5.8,5.7125,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,6/11/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,13.6,6.3,20.8,0,,302.3,3.9,0,1009.1,,3.6,3.833333,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,6/17/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,11.8,1,22.6,0,,320.4,9.2,147.6,1014.4,,4.9,7.5,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,6/23/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,11.1,2.9,19.3,2.4,,319,5.2,118.8,1009,,2.9,2.304167,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,6/29/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,18.8,13.8,23.7,72.2,,142.7,4.2,0,1011.6,,3.5,2.795833,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,7/5/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,19.3,13.3,25.3,5,,329.4,3.1,0,1007.3,,6,4.833333,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,7/11/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,16.6,7.1,26.1,0,,317.8,5,0,1015.4,,7.2,7.083333,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,7/17/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,16.3,7.5,25,0.2,,99,3.1,0,1019.3,,4.5,4.25,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,7/23/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,20.1,13.3,26.9,0.2,,316.2,6.7,0,1004.4,,6.3,5.295833,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,7/29/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,18.1,11.2,24.9,0,,323.2,6,0,1012.9,,4.6,4.133333,1,2,FRM,FEM,143,170,,SLAMS
